,Unnamed: 0,type,category,star,review_
10,11,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,윈도우만 쓰다가 가볍고  조용하고  배터리 오래간다는 소문을 듣고 주문했습니다  걱정은 했지만  생각보다 적응하는데 어렵지 않았고  이야기대로 조용하고  오래가고  빠릿했습니다  무게는 사이즈 대비 가볍지는 않았습니다만  단단한 느낌이 좋았습니다  MS 오피스 2019  한글2014 for MAC  파이널 컷 프로  포토샵2021  라이트룸 사용 시 적응 어렵지않고  울트라북으로서는 훌륭한 작업성을 보여주었습니다  저는 만족하고 추천할 수 있을 것 같습니다 
11,12,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,아침 구매 후 약 한시간 후 배송 준비되는 것 보고 빠르다고 느꼈습니다   디자인의 애플입니다만  이전 제품과 다르지는 않습니다 구관이 명관이라고 충분히 좋습니다   성능은 유튜브를 보면 충분히 알 수 있듯 최강의 울트라북입니다   다만  더욱 느낄 수 있는 것은 낮은 발열과 밝은 모니터입니다   1 3 킬로그램의 무게와 알루미늄 바디는 약간 묵직한 느낌을 줍니다   충전선은 1 미터로 충분한 길이입니다   앱 생태계는 즐기기위한 것보다는 간단한 업무 위주의 사용으로 하는 것이 좋습니다   만족스럽습니다 
12,13,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,미쳤다 배송 진짜 미쳤어요 어제 3 4시쯤 한참 고민하다가 방학 때 번 돈으로 벌벌떨면서 샀는데 오늘 12시쯤 배송와서 잘 못 본 줄 알았어요개봉할 땐 맥북 한 번도 안 써봐서 어떡하지 싶고 괜히샀나 싶었는데 개봉하고 계정 등록도 하고 동기화도 시키고 하니까 2시간만에 편안해졌습니다  아이패드 쓰는 기분 같기도 하도 암튼 왜 이제 샀을까 싶네요  os운영체제가 낯설지 않은 아이폰 아이패드 유저여서 맥북으로 온 이상 윈도우는 공동인증서 같은 문제 아닌 이상 안 넘어갈 거 같습니당   당분간은 이 맥북과 이전 윈도우 노트북 두 대를 왔다갔다하면 쓸 생각인네 아무튼 너무 좋아요 아 물론 악세서리나 부수적으로 필요한 것들  프로그램 구매하느라 돈 추가로 깨지는 건 마음아픈 일이지만 뭐 어쩌겠습니까암튼 맥북 최고만족
13,14,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,맥북에어 너무 만족하면서 쓰고있어요  첫 노트북이기도하고  맥os 체계가 걱정되었는데 한달 써보니 일반 노트북 샀으면 후회할뻔했어요  팬리스라 소음도 없고  아이폰 쓰시는 분들은 연동이 잘되서 사진작업 너무 편하게 옮길 수 있어요 
14,15,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,세   세상에나 제가 위메프체험단 BEST우수후기 리뷰어로 당첨되어 경품을 받게 되었어요   위메프체험단 BEST 우수 후기 리뷰어는 후기 좋은 리뷰어를 선정하여 추첨을 통해 뽑는거라    운인데요  위메프체험단 4기 당첨이 부러워서 저도 우수 리뷰어 글을 검색하기도 했었죠  이번은 기대를 안했어요  왜냐면 워낙 참여하는 사람도 많아서 위메프체험단 5기에 참여하는데 의의를 뒀거든요  진짜    대박이에요  당첨 전화 받고도 믿기지않았어요     위메프체험단 5기 BEST우수후기리뷰어 선정에 감사드립니다  위메프체험단 전산 문제로인해서 저도 이번에 문자를 늦게 받아서 무료체험제품은 원하는 걸 선택하지 못 했거든요  그럼에도 무료체험제품 정성껏 후기 쓰고  내돈내산으로 청소기를 주문해서 정성껏 후기를 썼더니 이런 행운이 따른 것 같아요  2021년에 좋은 일이 생겨서 너무 좋네요  여러분도 위메프체험단에 꼭 참여하세요   위메프체험단 감사합니다     위메프체험단5기 BEST우수후기리뷰어로 선정되어 상품을 지원받아 작성하는 후기입니다  
15,16,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,제품이 없어서 배송은 느렸지만 입고 전에도 연락 주셨고  입고 된 날 바로 퀵으로 보내줬어요     고맙습니다   제품은 발열도  소리도 없어요 이게 노트북인가 싶네요    호환되는 프로그램은 좀 적다는거 아시죠 다들  일반 MS 오피스는 문제 없지만 한글 이런건 불편한 경우가 많아요  게임도 앱스토어에서 받는거 아님 윈도우용 이런건 안될경우가 많아요 
16,17,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,배송 엄청 빠르네요  포장도 꼼꼼합니다  많이파세요
17,18,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,너무 잘 사용 중입니다  추천드려요
18,19,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,택배보내시기 전에 방문하여 직접 수령하였습니다  친절한 설명 감사드려요  포장 깨끗하고 양품이네요  잘 사용하겠습니다  포장에 젤리 넣어주시는 센스   좀 기다리기는 했지만 빨리 받았어요   
19,20,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,배송이 늦긴 했지만 명불허전 이네요  공홈 교육할인보다 저렴하게 구입했어요  M1 맥북에어 기대가 큽니다 
